,Root,ProcessingDepth,FileDirPath,FileDirDepth,FileName,ExifArgs,DestRoot,FilePath,Size,ModifiedAt,InodeDev,Inode,CacheKey
5820,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.2.3 Jan Ludescher 01.01.2017_31.03.2017.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.2.3 Jan Ludescher 01.01.2017_31.03.2017.pdf,1112753,1507811938.0,6985672059403080448,281474976744133,09b0eb4c968797dba5d57f43e332cda1
5821,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.2.4 Kretz_04_2017_Arizon06032017.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.2.4 Kretz_04_2017_Arizon06032017.pdf,1169039,1507811938.0,6985672059403080448,281474976744134,cadd0d190614f901a55985f5463269da
5822,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.2.5 Ludescher_04_2017_Arizon06032017.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.2.5 Ludescher_04_2017_Arizon06032017.pdf,1087576,1507811938.0,6985672059403080448,281474976744135,9e784606e8c9a2f32eead2133fe4cdcc
5823,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.2.6 Markus Roos 01.01.2017_31.12.2017.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.2.6 Markus Roos 01.01.2017_31.12.2017.pdf,1243137,1507811938.0,6985672059403080448,281474976744136,1ea9bdc44b1dfa6b6bbbf8888c94ea5f
5824,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.2.7 Martin Schacher 01.01.2017_31.03.2017.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.2.7 Martin Schacher 01.01.2017_31.03.2017.pdf,1358450,1507811940.0,6985672059403080448,281474976744137,4ddf3651265b23627144acad8219d8aa
5825,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.2.8 Pascal Kretz 01.01.2017_31.03.2017.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.2.8 Pascal Kretz 01.01.2017_31.03.2017.pdf,1285641,1507811940.0,6985672059403080448,281474976744138,4d64bce5420e4a7f0d6afb8d0c4eb493
5826,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.2.9 Pascal St+дheli 01.01.2017_31.12.2017.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.2.9 Pascal St+дheli 01.01.2017_31.12.2017.pdf,1219648,1507811940.0,6985672059403080448,281474976744139,aa4b3dfa45fb3e05c6eff4a1a94ec019
5827,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.3.1 091102_Framework Agt Appendix 4 Pre-employment Screening.DOC,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.3.1 091102_Framework Agt Appendix 4 Pre-employment Screening.DOC,95744,1507811950.0,6985672059403080448,281474976744140,c01c5b30b6803c5942067014d2e3d77f
5828,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.3.10 2010.08.16 RBS MAS Page 1-5.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.3.10 2010.08.16 RBS MAS Page 1-5.pdf,3237636,1507811956.0,6985672059403080448,281474976744141,d32cb9691d42a81c97caaaffd4b6a176
5829,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.3.2 091102_Framework Agt Appendix 5 Information Security Policy.doc,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.3.2 091102_Framework Agt Appendix 5 Information Security Policy.doc,373248,1507811950.0,6985672059403080448,281474976744142,8e7df8cc6ed5cdd71d4bf1b994a329a8
